book,source,target,weight
3,Clarisse La Rue,Hera,2
3,Clarisse La Rue,Hermes,4
3,Clarisse La Rue,Kronos,2
3,Clarisse La Rue,Luke Castellan,2
3,Clarisse La Rue,Nico di Angelo,6
3,Clarisse La Rue,Pan,2
3,Clarisse La Rue,Percy Jackson,40
3,Clarisse La Rue,Poseidon,2
3,Clarisse La Rue,Zeus,2
3,Clarisse La Rue,Zoë Nightshade,2
3,Demeter,Dionysus,2
3,Demeter,Hera,2
3,Demeter,Hermes,2
3,Demeter,Percy Jackson,20
3,Demeter,Poseidon,2
3,Demeter,Thalia Grace,4
3,Demeter,Zeus,2
3,Dionysus,Grover Underwood,66
3,Dionysus,Hades,2
3,Dionysus,Hephaestus,6
3,Dionysus,Hera,2
3,Dionysus,Hermes,2
3,Dionysus,Kronos,4
3,Dionysus,Luke Castellan,4
3,Dionysus,Nico di Angelo,34
3,Dionysus,Oracle,2
3,Dionysus,Pan,2
3,Dionysus,Percy Jackson,742
3,Dionysus,Poseidon,20
3,Dionysus,Thalia Grace,144
3,Dionysus,Zeus,12
3,Dionysus,Zoë Nightshade,72
3,Dr. Thorn,Grover Underwood,114
3,Dr. Thorn,Kronos,10
3,Dr. Thorn,Luke Castellan,72
3,Dr. Thorn,Medusa,4
3,Dr. Thorn,Nico di Angelo,40
3,Dr. Thorn,Percy Jackson,872
3,Dr. Thorn,Poseidon,6
3,Dr. Thorn,Thalia Grace,110
3,Dr. Thorn,Zeus,12
3,Dr. Thorn,Zoë Nightshade,18
3,Frederick Chase,Kronos,4
3,Frederick Chase,Percy Jackson,264
3,Frederick Chase,Thalia Grace,44
3,Frederick Chase,Zoë Nightshade,26
3,Gabe Ugliano,Luke Castellan,2
3,Gabe Ugliano,Percy Jackson,18
3,Gabe Ugliano,Sally Jackson,6
3,Gabe Ugliano,Thalia Grace,2
3,Gabe Ugliano,Zoë Nightshade,2
3,Grover Underwood,Hades,18
3,Grover Underwood,Hermes,2
3,Grover Underwood,Kronos,16
3,Grover Underwood,Luke Castellan,40
3,Grover Underwood,Medusa,4
3,Grover Underwood,Nereus,18
3,Grover Underwood,Nico di Angelo,162
3,Grover Underwood,Oracle,10
3,Grover Underwood,Pan,42
3,Grover Underwood,Percy Jackson,3096
3,Grover Underwood,Poseidon,14
3,Grover Underwood,Sally Jackson,10
3,Grover Underwood,Talos,40
3,Grover Underwood,Thalia Grace,638
3,Grover Underwood,Zeus,62
3,Grover Underwood,Zoë Nightshade,502
3,Hades,Nico di Angelo,28
3,Hades,Percy Jackson,104
3,Hades,Poseidon,4
3,Hades,Thalia Grace,6
3,Hades,Zeus,4
3,Hephaestus,Hera,2
3,Hephaestus,Hermes,10
3,Hephaestus,Kronos,2
3,Hephaestus,Nico di Angelo,6
3,Hephaestus,Percy Jackson,86
3,Hephaestus,Poseidon,8
3,Hephaestus,Talos,4
3,Hephaestus,Thalia Grace,4
3,Hephaestus,Zeus,12
3,Hephaestus,Zoë Nightshade,4
3,Hera,Hermes,2
3,Hera,Percy Jackson,34
3,Hera,Poseidon,2
3,Hera,Thalia Grace,4
3,Hera,Zeus,10
3,Hermes,Kronos,2
3,Hermes,Luke Castellan,12
3,Hermes,Nico di Angelo,12
3,Hermes,Pan,4
3,Hermes,Percy Jackson,110
3,Hermes,Poseidon,12
3,Hermes,Thalia Grace,10
3,Hermes,Zeus,8
3,Hermes,Zoë Nightshade,16
3,Kronos,Ladon,4
3,Kronos,Luke Castellan,64
3,Kronos,Nico di Angelo,2
3,Kronos,Percy Jackson,336
3,Kronos,Poseidon,10
3,Kronos,Thalia Grace,38
3,Kronos,Tyson,6
3,Kronos,Zeus,18
3,Kronos,Zoë Nightshade,44
3,Ladon,Percy Jackson,152
3,Ladon,Thalia Grace,28
3,Ladon,Zeus,2
3,Ladon,Zoë Nightshade,82
3,Luke Castellan,Nico di Angelo,18
3,Luke Castellan,Oracle,2
3,Luke Castellan,Pan,2
3,Luke Castellan,Percy Jackson,1214
3,Luke Castellan,Poseidon,30
3,Luke Castellan,Rachel Elizabeth Dare,2
3,Luke Castellan,Sally Jackson,14
3,Luke Castellan,Thalia Grace,320
3,Luke Castellan,Tyson,8
3,Luke Castellan,Zeus,10
3,Luke Castellan,Zoë Nightshade,108
3,Medusa,Percy Jackson,26
3,Medusa,Thalia Grace,24
3,Medusa,Zeus,4
3,Medusa,Zoë Nightshade,2
3,Nereus,Oracle,4
3,Nereus,Percy Jackson,248
3,Nereus,Poseidon,12
3,Nereus,Sally Jackson,6
3,Nereus,Thalia Grace,10
3,Nereus,Zoë Nightshade,16
3,Nico di Angelo,Oracle,2
3,Nico di Angelo,Percy Jackson,1304
3,Nico di Angelo,Poseidon,8
3,Nico di Angelo,Sally Jackson,4
3,Nico di Angelo,Talos,4
3,Nico di Angelo,Thalia Grace,122
3,Nico di Angelo,Zeus,26
3,Nico di Angelo,Zoë Nightshade,102
3,Oracle,Percy Jackson,132
3,Oracle,Thalia Grace,6
3,Oracle,Zoë Nightshade,28
3,Pan,Percy Jackson,80
3,Pan,Thalia Grace,8
3,Pan,Zoë Nightshade,14
3,Percy Jackson,Poseidon,380
3,Percy Jackson,Rachel Elizabeth Dare,120
3,Percy Jackson,Rainbow,18
3,Percy Jackson,Sally Jackson,600
3,Percy Jackson,Talos,80
3,Percy Jackson,Thalia Grace,4496
3,Percy Jackson,Tyson,244
3,Percy Jackson,Zeus,586
3,Percy Jackson,Zoë Nightshade,3812
3,Poseidon,Rainbow,2
3,Poseidon,Thalia Grace,26
3,Poseidon,Zeus,42
3,Poseidon,Zoë Nightshade,8
3,Rachel Elizabeth Dare,Sally Jackson,2
3,Rachel Elizabeth Dare,Thalia Grace,6
3,Rachel Elizabeth Dare,Tyson,2
3,Rachel Elizabeth Dare,Zeus,2
3,Sally Jackson,Thalia Grace,70
3,Sally Jackson,Tyson,8
3,Sally Jackson,Zoë Nightshade,18
3,Talos,Thalia Grace,12
3,Talos,Zoë Nightshade,16
3,Thalia Grace,Tyson,4
3,Thalia Grace,Zeus,176
3,Thalia Grace,Zoë Nightshade,718
3,Zeus,Zoë Nightshade,40
