book,source,target,weight
1,Clarisse La Rue,Sally Jackson,4
1,Clarisse La Rue,Thalia Grace,2
1,Clarisse La Rue,Zeus,8
1,Demeter,Dionysus,8
1,Demeter,Grover Underwood,2
1,Demeter,Hades,6
1,Demeter,Hephaestus,6
1,Demeter,Hera,2
1,Demeter,Hermes,4
1,Demeter,Percy Jackson,26
1,Demeter,Poseidon,8
1,Demeter,Zeus,10
1,Dionysus,Gabe Ugliano,6
1,Dionysus,Grover Underwood,148
1,Dionysus,Hephaestus,8
1,Dionysus,Hera,4
1,Dionysus,Hermes,8
1,Dionysus,Luke Castellan,6
1,Dionysus,Nancy Bobofit,2
1,Dionysus,Percy Jackson,712
1,Dionysus,Poseidon,4
1,Dionysus,Sally Jackson,8
1,Dionysus,Zeus,14
1,Echidna,Grover Underwood,20
1,Echidna,Hades,2
1,Echidna,Hephaestus,2
1,Echidna,Percy Jackson,142
1,Echidna,Poseidon,6
1,Echidna,Zeus,2
1,Gabe Ugliano,Grover Underwood,36
1,Gabe Ugliano,Hades,2
1,Gabe Ugliano,Hera,2
1,Gabe Ugliano,Nancy Bobofit,2
1,Gabe Ugliano,Oracle,4
1,Gabe Ugliano,Percy Jackson,1058
1,Gabe Ugliano,Poseidon,26
1,Gabe Ugliano,Sally Jackson,216
1,Gabe Ugliano,Thalia Grace,2
1,Gabe Ugliano,Zeus,8
1,Grover Underwood,Hades,152
1,Grover Underwood,Hephaestus,12
1,Grover Underwood,Hera,2
1,Grover Underwood,Hermes,12
1,Grover Underwood,Kronos,8
1,Grover Underwood,Luke Castellan,92
1,Grover Underwood,Medusa,184
1,Grover Underwood,Nancy Bobofit,58
1,Grover Underwood,Nereid,4
1,Grover Underwood,Oracle,34
1,Grover Underwood,Pan,30
1,Grover Underwood,Percy Jackson,5388
1,Grover Underwood,Poseidon,88
1,Grover Underwood,Procrustes,42
1,Grover Underwood,Sally Jackson,206
1,Grover Underwood,Thalia Grace,42
1,Grover Underwood,Zeus,124
1,Hades,Hera,2
1,Hades,Hermes,2
1,Hades,Kronos,6
1,Hades,Luke Castellan,14
1,Hades,Medusa,6
1,Hades,Oracle,18
1,Hades,Percy Jackson,1344
1,Hades,Poseidon,106
1,Hades,Procrustes,2
1,Hades,Sally Jackson,44
1,Hades,Thalia Grace,14
1,Hades,Zeus,116
1,Hephaestus,Hermes,6
1,Hephaestus,Luke Castellan,10
1,Hephaestus,Medusa,2
1,Hephaestus,Pan,2
1,Hephaestus,Percy Jackson,112
1,Hephaestus,Sally Jackson,2
1,Hephaestus,Zeus,6
1,Hera,Kronos,2
1,Hera,Percy Jackson,32
1,Hera,Poseidon,20
1,Hera,Zeus,22
1,Hermes,Kronos,8
1,Hermes,Luke Castellan,56
1,Hermes,Medusa,2
1,Hermes,Percy Jackson,246
1,Hermes,Poseidon,2
1,Hermes,Procrustes,4
1,Hermes,Sally Jackson,2
1,Hermes,Zeus,2
1,Kronos,Luke Castellan,38
1,Kronos,Nancy Bobofit,16
1,Kronos,Oracle,4
1,Kronos,Percy Jackson,320
1,Kronos,Poseidon,40
1,Kronos,Thalia Grace,8
1,Kronos,Zeus,78
1,Luke Castellan,Oracle,12
1,Luke Castellan,Percy Jackson,1570
1,Luke Castellan,Poseidon,6
1,Luke Castellan,Sally Jackson,6
1,Luke Castellan,Thalia Grace,44
1,Luke Castellan,Zeus,16
1,Medusa,Pan,4
1,Medusa,Percy Jackson,772
1,Medusa,Poseidon,8
1,Medusa,Sally Jackson,14
1,Nancy Bobofit,Percy Jackson,338
1,Nancy Bobofit,Sally Jackson,6
1,Nancy Bobofit,Zeus,8
1,Nereid,Percy Jackson,50
1,Nereid,Poseidon,4
1,Oracle,Percy Jackson,276
1,Oracle,Poseidon,18
1,Oracle,Sally Jackson,8
1,Oracle,Zeus,20
1,Pan,Percy Jackson,120
1,Pan,Thalia Grace,2
1,Percy Jackson,Poseidon,1024
1,Percy Jackson,Procrustes,254
1,Percy Jackson,Sally Jackson,2138
1,Percy Jackson,Thalia Grace,256
1,Percy Jackson,Zeus,1112
1,Poseidon,Sally Jackson,36
1,Poseidon,Thalia Grace,2
1,Poseidon,Zeus,254
1,Sally Jackson,Thalia Grace,4
1,Sally Jackson,Zeus,18
1,Thalia Grace,Zeus,26
2,Agrius,Annabeth Chase,8
2,Agrius,Aphrodite,10
2,Agrius,Artemis,10
2,Agrius,Chiron,6
2,Agrius,Clarisse La Rue,4
2,Agrius,Grover Underwood,2
2,Agrius,Hades,2
2,Agrius,Luke Castellan,82
2,Agrius,Oreius,54
2,Agrius,Percy Jackson,118
2,Agrius,Tyson,6
2,Annabeth Chase,Aphrodite,12
2,Annabeth Chase,Apollo,32
2,Annabeth Chase,Ares,44
2,Annabeth Chase,Argus,4
2,Annabeth Chase,Athena,72
2,Annabeth Chase,Blackbeard,12
2,Annabeth Chase,Chiron,208
2,Annabeth Chase,Circe,202
2,Annabeth Chase,Clarisse La Rue,360
2,Annabeth Chase,Dionysus,6
2,Annabeth Chase,Grover Underwood,300
2,Annabeth Chase,Hades,4
2,Annabeth Chase,Hephaestus,48
2,Annabeth Chase,Hermes,96
2,Annabeth Chase,Kronos,24
2,Annabeth Chase,Luke Castellan,246
2,Annabeth Chase,Oracle,26
2,Annabeth Chase,Oreius,18
2,Annabeth Chase,Pan,8
2,Annabeth Chase,Percy Jackson,5130
2,Annabeth Chase,Polyphemus,156
2,Annabeth Chase,Poseidon,56
2,Annabeth Chase,Rainbow,24
2,Annabeth Chase,Sally Jackson,24
2,Annabeth Chase,Tantalus,104
2,Annabeth Chase,Thalia Grace,106
2,Annabeth Chase,Tyson,758
2,Annabeth Chase,Zeus,40
2,Aphrodite,Apollo,4
2,Aphrodite,Artemis,8
2,Aphrodite,Athena,2
2,Aphrodite,Clarisse La Rue,2
2,Aphrodite,Demeter,2
2,Aphrodite,Dionysus,4
2,Aphrodite,Grover Underwood,2
2,Aphrodite,Luke Castellan,8
2,Aphrodite,Oreius,8
2,Aphrodite,Percy Jackson,46
2,Aphrodite,Tantalus,2
